,imdbTitleId,clusterId,avgVote
144,0010890,6,6.4
145,0010969,9,6.7
146,0011130,6,7.0
147,0011217,4,6.4
148,0011221,9,6.0
149,0011294,4,7.1
150,0011267,7,5.1
151,0011302,9,6.9
152,0011344,1,6.2
153,0011371,4,6.7
154,0011358,7,6.6
155,0011415,2,5.9
156,0011387,0,6.7
157,0011588,0,6.4
158,0011474,3,6.5
159,0011607,7,7.1
160,0011623,1,6.1
161,0011641,4,6.5
162,0011647,0,5.7
163,0011741,6,6.3
164,0011753,7,5.5
165,0011779,0,6.5
166,0011742,4,6.1
167,0011833,9,6.9
168,0011865,0,6.7
169,0011157,7,6.6
170,0011908,7,6.0
171,0011979,0,6.8
172,0011948,6,6.9
173,0012016,0,6.4
174,0012027,0,6.6
175,0012125,7,6.4
176,0012136,3,6.4
177,0012134,5,7.0
178,0012249,9,7.0
179,0012190,1,7.2
180,0012281,4,6.8
181,0012349,2,8.3
182,0012314,8,6.6
183,0012313,8,6.7
184,0012364,6,8.1
185,0011193,0,6.6
186,0012382,6,6.1
187,0012397,0,6.7
188,0012408,1,6.5
189,0012486,1,6.2
190,0012513,3,6.5
191,0012538,6,6.5
192,0012642,7,6.9
193,0012494,1,7.7
194,0012532,2,7.4
195,0012650,0,6.4
196,0012675,0,6.4
197,0012651,9,6.2
198,0012745,1,6.9
199,0012769,1,5.9
200,0012752,7,6.9
201,0012928,3,6.1
202,0012806,4,6.2
203,0012975,0,6.2
204,0013033,4,7.1
205,0013140,0,7.0
206,0013428,9,6.9
207,0013169,4,6.5
208,0013223,0,4.9
209,0013075,7,7.1
210,0012755,0,6.8
211,0013367,7,5.4
212,0013386,0,6.6
213,0013201,7,7.0
214,0013556,0,7.2
215,0013592,3,6.3
216,0013579,4,6.8
217,0013607,0,5.8
218,0013597,7,5.8
219,0013662,0,6.9
220,0013450,7,6.7
221,0013442,4,7.9
222,0013515,7,6.7
223,0013705,6,5.8
224,0013674,0,7.0
225,0013741,9,6.6
226,0013704,6,6.0
227,0013688,1,6.6
228,0013750,3,6.3
229,0013469,7,6.4
230,0013909,3,5.2
231,0013933,4,7.5
232,0013830,4,6.8
233,0013496,1,6.9
234,0014341,1,7.8
235,0014358,2,7.4
236,0014029,0,6.6
237,0014417,4,7.5
238,0014416,0,6.5
239,0014446,9,6.7
240,0014205,3,6.2
241,0014440,6,7.0
242,0013951,7,6.6
243,0014429,7,8.1
244,0014463,7,6.5
245,0014516,9,7.0
246,0014497,1,7.0
247,0014524,4,6.2
248,0014586,9,6.6
249,0014604,2,6.4
250,0014532,0,6.8
251,0014611,7,7.4
252,0014606,6,6.2
253,0014624,1,7.0
254,0014636,7,6.2
255,0014721,1,5.9
256,0014854,0,6.9
257,0014760,7,6.9
258,0014869,1,6.5
259,0014646,0,6.6
260,0014874,1,6.3
261,0014898,9,6.8
262,0014945,7,7.7
263,0014972,1,7.8
264,0015002,7,7.2
265,0014900,4,6.4
266,0015014,9,7.2
267,0015016,7,7.2
268,0015018,1,6.9
269,0015022,1,5.7
270,0015116,7,6.5
271,0015145,0,5.7
272,0015175,4,8.1
273,0015200,6,4.7
274,0015213,0,6.8
275,0015214,9,7.2
276,0015310,0,7.0
277,0015268,0,7.1
278,0015324,2,8.2
279,0015312,1,5.5
280,0015493,2,6.3
281,0015498,7,6.8
282,0015500,6,5.9
283,0015518,0,5.8
284,0014605,1,6.8
285,0015643,0,7.0
286,0015634,6,6.2
287,0015648,9,8.0
288,0015684,7,6.3
289,0015687,0,6.6
290,0015693,0,6.4
291,0015758,0,7.0
292,0015841,7,7.5
293,0015801,9,7.1
294,0015768,4,7.1
295,0015772,2,6.6
296,0015864,2,8.2
297,0015863,2,7.2
298,0015842,7,7.2
299,0015872,7,6.9
300,0015883,4,6.9
301,0015881,0,8.1
302,0015909,6,6.5
303,0016004,1,7.3
304,0016005,0,6.6
305,0016028,6,6.7
306,0016142,6,6.4
307,0016013,1,7.2
308,0016201,2,6.2
309,0016226,3,6.0
310,0016205,1,6.7
311,0016123,6,6.2
312,0016232,4,7.0
313,0016230,0,6.0
314,0016241,0,3.7
315,0016276,0,6.6
316,0016258,1,7.1
317,0014826,0,5.7
318,0016332,2,7.9
319,0016023,3,6.0
320,0016294,2,6.8
321,0016338,2,6.1
322,0016394,1,6.5
323,0016308,7,6.6
324,0016395,0,7.2
325,0016288,3,6.4
326,0016473,6,7.2
327,0016461,0,6.5
328,0016480,0,6.8
329,0016491,7,7.7
330,0016545,7,5.8
331,0016493,9,6.7
332,0016309,7,3.8
333,0016481,7,7.4
334,0016560,1,5.4
335,0016627,6,7.0
336,0016630,2,7.0
337,0016629,7,6.5
338,0016634,0,7.0
339,0016643,0,6.3
340,0016029,1,7.1
341,0016646,3,5.9
342,0016640,2,6.5
343,0016664,1,5.5
344,0016655,6,6.8
345,0016762,7,6.6
346,0016804,7,7.0
347,0016822,7,6.7
348,0016832,6,6.9
349,0016847,7,8.1
350,0016854,7,6.4
351,0016895,6,7.5
352,0016914,0,6.9
353,0016939,0,6.3
354,0016947,1,6.6
355,0016953,4,6.7
356,0016971,7,6.0
357,0017004,1,6.4
358,0017029,1,6.7
359,0017028,3,6.9
360,0017048,8,7.4
361,0017075,0,7.3
362,0017096,9,6.7
363,0017119,6,6.8
364,0017103,6,6.7
365,0017120,6,6.8
366,0017136,9,8.3
367,0017184,2,5.7
368,0017159,0,6.8
369,0017195,2,7.0
370,0017198,2,5.2
371,0017196,9,6.8
372,0017271,7,7.7
373,0016690,0,6.2
374,0017329,6,6.6
375,0017338,8,6.0
376,0017350,1,7.7
377,0017374,3,5.8
378,0017354,7,6.5
379,0017382,7,6.8
380,0017410,0,6.2
381,0017409,0,7.0
382,0016672,6,5.0
383,0017423,6,7.3
384,0017437,1,6.7
385,0017419,7,6.2
386,0017438,7,6.9
387,0017480,3,6.9
388,0017519,0,6.6
389,0017619,0,7.5
390,0017567,0,7.0
391,0017448,7,7.1
392,0017449,1,6.9
393,0017621,4,6.2
394,0017667,7,6.9
395,0017726,4,6.4
396,0017632,1,5.9
397,0017416,0,6.6
398,0017463,7,7.5
399,0017735,7,6.8
400,0017739,6,7.1
401,0017750,0,7.1
402,0017765,7,7.1
403,0017736,4,6.8
404,0017860,3,5.6
405,0017825,7,6.1
406,0017832,1,4.8
407,0017843,1,5.7
408,0017886,7,6.4
409,0017928,7,6.7
410,0017938,1,7.0
411,0017925,2,8.1
412,0017918,0,6.9
413,0018051,6,7.6
414,0018045,8,6.8
415,0017998,6,7.1
416,0018016,7,6.4
417,0018037,7,6.5
418,0018102,7,6.3
419,0018087,0,7.3
420,0018218,7,6.4
421,0018166,0,6.7
422,0018138,7,5.9
423,0018054,2,7.2
424,0018235,7,6.8
425,0018183,6,7.4
